lemma,display_word,variant,oxford_pos
pack,pack,,n.
swim,swim,,n.
totally,totally,,adv.
historical,historical,,adj.
branch,branch,,n.
bomb,bomb,,n.|v.
editor,editor,,n.
sight,sight,,n.
quote,quote,,n.|v.
climb,climb,,n.
mainly,mainly,,adv.
occasion,occasion,,n.
familiar,familiar,,adj.
ignore,ignore,,v.
locate,locate,,v.
belief,belief,,n.
technical,technical,,adj.
remind,remind,,v.
switch,switch,,v.
fairly,fairly,,adv.
participate,participate,,v.
border,border,,n.
shake,shake,,n.
ought,ought,,modal v.
ad,ad,,n.
escape,escape,,n.|v.
studio,studio,,n.
proper,proper,,adj.
afford,afford,,v.
arrest,arrest,,n.|v.
signal,signal,,n.|v.
explore,explore,,v.
necessarily,necessarily,,adv.
frame,frame,,n.|v.
hire,hire,,v.
chain,chain,,n.
literature,literature,,n.
victim,victim,,n.
label,label,,n.|v.
channel,channel,,n.
investigate,investigate,,v.
recommendation,recommendation,,n.
concentrate,concentrate,,v.
plenty,plenty,,pron.
export,export,,n.|v.
strongly,strongly,,adv.
consist,consist,,v.
graduate,graduate,,n.|v.
brand,brand,,n.|v.
principal,principal,,n.
grade,grade,,n.
previously,previously,,adv.
rent,rent,,n.|v.
till,till,,conj.|prep.
theme,theme,,n.
odd,odd,,adj.
definition,definition,,n.
atmosphere,atmosphere,,n.
comparison,comparison,,n.
identity,identity,,n.
