lemma,display_word,variant,oxford_pos,meaning_ko,example_en,example_ko,card_type,sense_hint,split_from,needs_review
big,big,,adj.,큰 / 중요한,She has a big dog.,그녀는 큰 개를 키워요.,normal,,,FALSE
small,small,,adj.,작은,He has a small bag.,그는 작은 가방을 가지고 있어요.,normal,,,FALSE
study,study,,n.|v.,공부하다 / 공부,I study English every day.,저는 매일 영어를 공부해요.,normal,,,FALSE
follow,follow,,v.,따라가다 / 따르다,The girl followed her mom.,그 소녀는 엄마를 따라갔어요.,normal,,,FALSE
begin,begin,,v.,시작하다,The class begins at nine.,수업은 9시에 시작해요.,normal,,,FALSE
important,important,,adj.,중요한,Water is important for us.,물은 우리에게 중요해요.,normal,,,FALSE
run,run,,v.,달리다 / 운영하다,The boy runs in the park.,그 소년은 공원에서 달려요.,normal,,,FALSE
under,under,,adv.|prep.,아래에 / ~보다 적은,The cat is under the table.,고양이가 탁자 아래에 있어요.,function_word,,,FALSE
turn,turn,,n.|v.,돌다 / 차례,She turned left at the corner.,그녀는 모퉁이에서 왼쪽으로 돌았어요.,polysemy_split,(돌다),turn,FALSE
turn,turn,,n.|v.,차례 / 순서,It is my turn now.,지금은 제 차례예요.,polysemy_split,(차례),turn,FALSE
few,few,,adj.|det.|pron.,거의 없는 / 몇 안 되는,I have a few friends here.,저는 여기에 친구가 몇 명 있어요.,function_word,,,FALSE
bring,bring,,v.,가져오다 / 데려오다,He brought flowers for me.,그가 저를 위해 꽃을 가져왔어요.,normal,,,FALSE
early,early,,adj.|adv.,이른 / 일찍,She wakes up early every day.,그녀는 매일 일찍 일어나요.,normal,,,FALSE
hand,hand,,n.,손,She washed her hands.,그녀는 손을 씻었어요.,normal,,,FALSE
move,move,,v.,움직이다 / 이사하다,We moved to a new house.,저희는 새 집으로 이사했어요.,normal,,,FALSE
money,money,,n.,돈,I need money to buy food.,저는 음식을 사려고 돈이 필요해요.,normal,,,FALSE
fact,fact,,n.,사실,That is a simple fact.,그것은 간단한 사실이에요.,normal,,,FALSE
however,however,,adv.,그러나 / 하지만,"I was tired. However, I cooked dinner.",저는 피곤했어요. 그러나 저녁을 요리했어요.,function_word,,,FALSE
area,area,,n.,지역 / 구역,She lives in a quiet area.,그녀는 조용한 지역에 살아요.,normal,,,FALSE
name,name,,n.|v.,이름 / 이름을 짓다,My name is Mina.,제 이름은 미나예요.,normal,,,FALSE
read,read,,v.,읽다,I read a book every night.,저는 매일 밤 책을 읽어요.,normal,,,FALSE
friend,friend,,n.,친구,She called her old friend.,그녀는 오랜 친구에게 전화했어요.,normal,,,FALSE
month,month,,n.,달 / 한 달,I visit my mom every month.,저는 매달 엄마를 방문해요.,normal,,,FALSE
large,large,,adj.,큰 / 넓은,They live in a large house.,그들은 큰 집에 살아요.,normal,,,FALSE
business,business,,n.,사업 / 업무,She runs a small business.,그녀는 작은 사업을 운영해요.,normal,,,FALSE
