lemma,display_word,variant,oxford_pos
the,the,,definite article
be,be,,auxiliary v.|v.
and,and,,conj.
of,of,,prep.
to,to,,infinitive marker|prep.
a,a,an,indefinite article
in,in,,adv.|prep.
have,have,,v.
it,IT,,pron.
you,you,,pron.
he,he,,pron.
for,for,,prep.
they,they,,pron.
not,not,,adv.
that,that,,conj.|det.|pron.
we,we,,pron.
on,on,,adv.|prep.
with,with,,prep.
this,this,,det.|pron.
i,I,,pron.
do,do,,auxiliary v.|v.
as,as,,prep.
at,at,,prep.
she,she,,pron.
but,but,,conj.
from,from,,prep.
by,by,,prep.
will,will,,modal v.
or,or,,conj.
say,say,,v.
go,go,,v.
so,so,,adv.|conj.
all,all,,det.|pron.
if,if,,conj.
one,one,,det.|number|pron.
would,would,,modal v.
about,about,,adv.|prep.
can,can,,modal v.
which,which,,det.|pron.
there,there,,adv.
know,know,,v.
more,more,,adv.|det.|pron.
get,get,,v.
who,who,,pron.
like,like,,prep.
like,like,,v.
when,when,,adv.|conj.|pron.
think,think,,v.
make,make,,v.
time,time,,n.
see,see,,v.
what,what,,det.|pron.
up,up,,adv.|prep.
some,some,,det.|pron.
other,other,,adj.|pron.
out,out,,adv.|prep.
good,good,,adj.
people,people,,n.
year,year,,n.
take,take,,v.
no,no,,det.|exclam.
well,well,,adj.|adv.|exclam.
because,because,,conj.
very,very,,adv.
just,just,,adv.
come,come,,v.
could,could,,modal v.
work,work,,n.|v.
use,use,,v.
than,than,,conj.
now,now,,adv.
then,then,,adv.
also,also,,adv.
into,into,,prep.
only,only,,adj.|adv.
look,look,,v.
want,want,,v.
give,give,,v.
first,first,,adv.|det.|number
new,new,,adj.
way,way,,n.
find,find,,v.
over,over,,adv.|prep.
any,any,,det.|pron.
after,after,,prep.
day,day,,n.
where,where,,adv.|conj.
thing,thing,,n.
most,most,,adv.|det.|pron.
should,should,,modal v.
need,need,,v.
much,much,,adv.|det.|pron.
right,right,,adj.
right,right,,adv.
right,right,,n.
how,how,,adv.
back,back,,adv.|n.
mean,mean,,v.
even,even,,adv.
may,May,,n.
here,here,,adv.
many,many,,det.|pron.
last,last,,det.
child,child,,n.
tell,tell,,v.
really,really,,adv.
call,call,,n.|v.
before,before,,prep.
company,company,,n.
through,through,,adv.|prep.
down,down,,adv.|prep.
show,show,,n.|v.
life,life,,n.
man,man,,n.
change,change,,n.|v.
place,place,,n.
long,long,,adj.|adv.
between,between,,prep.
feel,feel,,v.
too,too,,adv.
still,still,,adv.
problem,problem,,n.
write,write,,v.
same,same,,adj.|adv.|pron.
lot,lot,,adv.|det.|pron.
great,great,,adj.
try,try,,v.
leave,leave,,v.
number,number,,n.
both,both,,det.|pron.
own,own,,adj.|pron.
part,part,,n.
point,point,,n.
little,little,,adj.|det.|pron.
help,help,,n.|v.
ask,ask,,v.
meet,meet,,v.
start,start,,v.
talk,talk,,v.
something,something,,pron.
put,put,,v.
another,another,,det.|pron.
become,become,,v.
interest,interest,,n.|v.
country,country,,n.
old,old,,adj.
each,each,,adv.|det.|pron.
school,school,,n.
late,late,,adj.|adv.
high,high,,adj.
different,different,,adj.
off,off,,adv.|prep.
next,next,,adj.|adv.
end,end,,n.|v.
live,live,,v.
why,why,,adv.
world,world,,n.
week,week,,n.
play,play,,n.|v.
must,must,,modal v.
home,home,,adv.|n.
never,never,,adv.
include,include,,v.
course,course,,n.
house,house,,n.
report,report,,n.
group,group,,n.
woman,woman,,n.
around,around,,adv.|prep.
book,book,,n.
family,family,,adj.|n.
let,let,,v.
again,again,,adv.
kind,kind,,n.
keep,keep,,v.
hear,hear,,v.
every,every,,det.
question,question,,n.
during,during,,prep.
always,always,,adv.
big,big,,adj.
small,small,,adj.
study,study,,n.|v.
follow,follow,,v.
begin,begin,,v.
important,important,,adj.
run,run,,v.
under,under,,adv.|prep.
turn,turn,,n.|v.
few,few,,adj.|det.|pron.
bring,bring,,v.
early,early,,adj.|adv.
hand,hand,,n.
move,move,,v.
money,money,,n.
fact,fact,,n.
however,however,,adv.
area,area,,n.
name,name,,n.|v.
read,read,,v.
friend,friend,,n.
month,month,,n.
large,large,,adj.
business,business,,n.
without,without,,prep.
information,information,,n.
open,open,,adj.|v.
order,order,,n.
order,order,,v.
word,word,,n.
market,market,,n.
pay,pay,,v.
build,build,,v.
believe,believe,,v.
second,second,,det.
second,second,,n.
second,second,,number
yes,yes,,exclam.
love,love,,n.|v.
job,job,,n.
plan,plan,,n.|v.
result,result,,n.
away,away,,adv.
example,example,,n.
happen,happen,,v.
young,young,,adj.
close,close,,v.
program,program,,n.
buy,buy,,v.
understand,understand,,v.
thank,thank,,v.
far,far,,adv.
today,today,,adv.|n.
hour,hour,,n.
student,student,,n.
face,face,,n.
hope,hope,,v.
idea,idea,,n.
cost,cost,,n.|v.
room,room,,n.
until,until,,conj.|prep.
reason,reason,,n.
form,form,,n.|v.
spend,spend,,v.
head,head,,n.
car,car,,n.
learn,learn,,v.
person,person,,n.
once,once,,adv.
member,member,,n.
enough,enough,,adv.|det.|pron.
bad,bad,,adj.
city,city,,n.
night,night,,n.
line,line,,n.
present,present,,adj.
present,present,,n.
quite,quite,,adv.
sure,sure,,adj.
age,age,,n.
speak,speak,,v.
often,often,,adv.
train,train,,n.
possible,possible,,adj.
together,together,,adv.
price,price,,n.
parent,parent,,n.
hard,hard,,adj.|adv.
party,party,,n.
local,local,,adj.
product,product,,n.
lose,lose,,v.
story,story,,n.
stand,stand,,v.
ever,ever,,adv.
anything,anything,,pron.
fall,fall,,n.
fall,fall,,v.
water,water,,n.
